Release Name,DiyActivePedal.dll,MSFS_SIMHUB_PLUGN_BY_asxasdfghjkl.7z,esp32_0.zip,esp32_analogout_SC_D15.zip,esp32_bridge.zip,esp32_speedcrafter.zip,esp32s3-gilphilbert.zip,esp32s3.zip,esp32s3_Bridge_Fanatec.zip,esp32s3_Bridge_With_Joy.zip,esp32s3_espmaster.zip,esp32s3_joystickreceiver.zip
Develop_Package_v20241108.222919,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241108.222919/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241108.222919/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241108.222919/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241108.222919/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241108.222919/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241108.222919/esp32s3.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241108.222919/esp32s3_Bridge_Fanatec.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241108.222919/esp32s3_Bridge_With_Joy.zip,,
Develop_Package_v20241102.083116,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241102.083116/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241102.083116/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241102.083116/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241102.083116/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241102.083116/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241102.083116/esp32s3.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241102.083116/esp32s3_Bridge_Fanatec.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241102.083116/esp32s3_Bridge_With_Joy.zip,,
Develop_Package_v20241020.034800,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241020.034800/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241020.034800/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241020.034800/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241020.034800/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241020.034800/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241020.034800/esp32s3.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241020.034800/esp32s3_Bridge_With_Joy.zip,,
Develop_Package_v20241005.230357,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241005.230357/DiyActivePedal.dll,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241005.230357/MSFS_SIMHUB_PLUGN_BY_asxasdfghjkl.7z,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241005.230357/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241005.230357/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241005.230357/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241005.230357/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241005.230357/esp32s3.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20241005.230357/esp32s3_Bridge_With_Joy.zip,,
Release_Package_v86,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v86/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v86/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v86/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v86/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v86/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v86/esp32s3.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v86/esp32s3_Bridge_With_Joy.zip,,
Develop_Package_v20240922.030957,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240922.030957/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240922.030957/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240922.030957/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240922.030957/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240922.030957/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240922.030957/esp32s3.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240922.030957/esp32s3_Bridge_With_Joy.zip,,
Develop_Package_v20240921.235314,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.235314/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.235314/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.235314/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.235314/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.235314/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.235314/esp32s3.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.235314/esp32s3_Bridge_With_Joy.zip,,
Develop_Package_v20240921.091841,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.091841/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.091841/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.091841/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.091841/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.091841/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.091841/esp32s3.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240921.091841/esp32s3_Bridge_With_Joy.zip,,
Develop_Package_v20240913.230515,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240913.230515/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240913.230515/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240913.230515/esp32_analogout_SC_D15.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240913.230515/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240913.230515/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240913.230515/esp32s3.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240913.230515/esp32s3_Bridge_With_Joy.zip,,
Develop_Package_v20240907.204828,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240907.204828/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240907.204828/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240907.204828/esp32_analogout_SC_D15.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240907.204828/esp32_bridge.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240907.204828/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240907.204828/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240907.204828/esp32s3.zip,,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240907.204828/esp32s3_joystickreceiver.zip
